trade_date,open,high,low,close,volume
2015-01-01,8200.00,8224.60,8152.51,8177.04,1000000
2015-01-02,8177.04,8211.07,8152.51,8186.51,1010000
2015-01-05,8186.51,8211.07,8155.14,8179.68,1020000
2015-01-06,8179.68,8229.85,8155.14,8205.24,1030000
2015-01-07,8205.24,8239.16,8180.62,8214.52,1040000
2015-01-08,8214.52,8239.16,8182.83,8207.45,1050000
2015-01-09,8207.45,8257.55,8182.83,8232.86,1060000
2015-01-12,8232.86,8266.66,8208.16,8241.93,1070000
2015-01-13,8241.93,8266.66,8209.88,8234.58,1080000
2015-01-14,8234.58,8284.59,8209.88,8259.81,1090000
2015-01-15,8259.81,8293.43,8235.03,8268.63,1100000
2015-01-16,8268.63,8293.43,8236.17,8260.95,1110000
2015-01-19,8260.95,8310.80,8236.17,8285.94,1120000
2015-01-20,8285.94,8319.33,8261.08,8294.45,1130000
2015-01-21,8294.45,8319.33,8261.52,8286.38,1140000
2015-01-22,8286.38,8335.99,8261.52,8311.05,1150000
2015-01-23,8311.05,8344.13,8286.12,8319.17,1160000
2015-01-26,8319.17,8344.13,8285.70,8310.63,1170000
2015-01-27,8310.63,8359.90,8285.70,8334.90,1180000
2015-01-28,8334.90,8367.55,8309.89,8342.53,1190000
2015-01-29,8342.53,8408.21,8317.50,8383.06,1200000
2015-01-30,8383.06,8432.17,8357.91,8406.95,1210000
2015-02-02,8406.95,8439.26,8381.73,8414.02,1220000
2015-02-03,8414.02,8479.60,8388.78,8454.23,1230000
2015-02-04,8454.23,8503.05,8428.87,8477.62,1240000
2015-02-05,8477.62,8509.45,8452.19,8483.99,1250000
2015-02-06,8483.99,8549.31,8458.54,8523.74,1260000
2015-02-09,8523.74,8572.11,8498.17,8546.47,1270000
2015-02-10,8546.47,8577.65,8520.83,8552.00,1280000
2015-02-11,8552.00,8616.88,8526.34,8591.11,1290000
2015-02-12,8591.11,8638.85,8565.34,8613.01,1300000
2015-02-13,8613.01,8643.37,8587.17,8617.52,1310000
2015-02-16,8617.52,8681.78,8591.66,8655.81,1320000
2015-02-17,8655.81,8702.73,8629.85,8676.70,1330000
2015-02-18,8676.70,8706.03,8650.67,8679.99,1340000
2015-02-19,8679.99,8743.42,8653.95,8717.27,1350000
2015-02-20,8717.27,8763.15,8691.12,8736.94,1360000
2015-02-23,8736.94,8817.18,8710.73,8790.81,1370000
2015-02-24,8790.81,8853.53,8764.44,8827.05,1380000
2015-02-25,8827.05,8871.93,8800.57,8845.39,1390000
2015-02-26,8845.39,8924.98,8818.86,8898.29,1400000
2015-02-27,8898.29,8960.05,8871.59,8933.25,1410000
2015-03-02,8933.25,8976.86,8906.45,8950.01,1420000
2015-03-03,8950.01,9028.67,8923.16,9001.66,1430000
2015-03-04,9001.66,9062.18,8974.66,9035.08,1440000
2015-03-05,9035.08,9077.15,9007.97,9050.00,1450000
2015-03-06,9050.00,9127.41,9022.85,9100.11,1460000
2015-03-09,9100.11,9159.09,9072.81,9131.69,1470000
2015-03-10,9131.69,9171.92,9104.30,9144.49,1480000
2015-03-11,9144.49,9220.34,9117.06,9192.77,1490000
2015-03-12,9192.77,9249.89,9165.19,9222.22,1000000
2015-03-13,9222.22,9260.30,9194.55,9232.61,1010000
2015-03-16,9232.61,9306.56,9204.91,9278.73,1020000
2015-03-17,9278.73,9333.66,9250.89,9305.74,1030000
2015-03-18,9305.74,9396.90,9277.83,9368.79,1040000
2015-03-19,9368.79,9440.93,9340.69,9412.69,1050000
2015-03-20,9412.69,9465.41,9384.45,9437.10,1060000
2015-03-23,9437.10,9526.45,9408.79,9497.96,1070000
2015-03-24,9497.96,9567.89,9469.46,9539.27,1080000
2015-03-25,9539.27,9589.41,9510.65,9560.72,1090000
2015-03-26,9560.72,9647.85,9532.04,9619.00,1100000
2015-03-27,9619.00,9686.33,9590.14,9657.35,1110000
2015-03-30,9657.35,9704.52,9628.38,9675.49,1120000
2015-03-31,9675.49,9759.98,9646.46,9730.79,1130000
2015-04-01,9730.79,9795.11,9701.60,9765.82,1140000
2015-04-02,9765.82,9809.62,9736.52,9780.28,1150000
2015-04-03,9780.28,9861.71,9750.94,9832.21,1160000
2015-04-06,9832.21,9893.12,9802.71,9863.53,1170000
2015-04-07,9863.53,9903.59,9833.94,9873.97,1180000
2015-04-08,9873.97,9951.90,9844.34,9922.13,1190000
2015-04-09,9922.13,9979.22,9892.37,9949.38,1200000
2015-04-10,9949.38,10044.69,9919.53,10014.64,1210000
2015-04-13,10014.64,10089.10,9984.60,10058.93,1220000
2015-04-14,10058.93,10112.12,10028.75,10081.87,1230000
2015-04-15,10081.87,10173.67,10051.62,10143.24,1240000
2015-04-16,10143.24,10213.76,10112.81,10183.21,1250000
2015-04-17,10183.21,10232.07,10152.66,10201.46,1260000
2015-04-20,10201.46,10289.27,10170.86,10258.49,1270000
2015-04-21,10258.49,10324.62,10227.72,10293.74,1280000
2015-04-22,10293.74,10337.84,10262.86,10306.92,1290000
2015-04-23,10306.92,10390.26,10276.00,10359.18,1300000
2015-04-24,10359.18,10420.49,10328.10,10389.32,1310000
2015-04-27,10389.32,10428.25,10358.15,10397.06,1320000
2015-04-28,10397.06,10475.48,10365.87,10444.15,1330000
2015-04-29,10444.15,10500.21,10412.82,10468.81,1340000
2015-04-30,10468.81,10502.21,10437.40,10470.80,1350000
2015-05-01,10470.80,10543.87,10439.38,10512.34,1360000
2015-05-04,10512.34,10562.77,10480.80,10531.18,1370000
2015-05-05,10531.18,10621.55,10499.58,10589.78,1380000
2015-05-06,10589.78,10657.51,10558.01,10625.64,1390000
2015-05-07,10625.64,10670.35,10593.76,10638.44,1400000
2015-05-08,10638.44,10723.40,10606.52,10691.33,1410000
2015-05-11,10691.33,10753.29,10659.26,10721.13,1420000
2015-05-12,10721.13,10759.75,10688.96,10727.56,1430000
2015-05-13,10727.56,10806.68,10695.38,10774.36,1440000
2015-05-14,10774.36,10830.15,10742.03,10797.76,1450000
2015-05-15,10797.76,10830.15,10765.16,10797.55,1460000
2015-05-18,10797.55,10870.42,10765.16,10837.90,1470000
2015-05-19,10837.90,10887.19,10805.39,10854.63,1480000
2015-05-20,10854.63,10887.19,10815.00,10847.54,1490000
2015-05-21,10847.54,10913.81,10815.00,10881.16,1000000
2015-05-22,10881.16,10923.64,10848.52,10890.97,1010000
2015-05-25,10890.97,10923.64,10844.20,10876.83,1020000
2015-05-26,10876.83,10936.20,10844.20,10903.49,1030000
2015-05-27,10903.49,10938.92,10870.78,10906.20,1040000
2015-05-28,10906.20,10982.64,10873.48,10949.79,1050000
2015-05-29,10949.79,11002.33,10916.94,10969.42,1060000
2015-06-01,10969.42,11002.33,10932.01,10964.91,1070000
2015-06-02,10964.91,11034.46,10932.01,11001.46,1080000
2015-06-03,11001.46,11046.90,10968.45,11013.86,1090000
2015-06-04,11013.86,11046.90,10968.97,11001.98,1100000
2015-06-05,11001.98,11064.39,10968.97,11031.29,1110000
2015-06-08,11031.29,11069.45,10998.20,11036.34,1120000
2015-06-09,11036.34,11069.45,10983.97,11017.02,1130000
2015-06-10,11017.02,11072.08,10983.97,11038.97,1140000
2015-06-11,11038.97,11072.08,11003.47,11036.58,1150000
2015-06-12,11036.58,11069.69,10976.80,11009.83,1160000
2015-06-15,11009.83,11057.41,10976.80,11024.33,1170000
2015-06-16,11024.33,11057.41,10981.48,11014.52,1180000
2015-06-17,11014.52,11047.56,10947.45,10980.39,1190000
2015-06-18,10980.39,11013.34,10816.08,10848.63,1200000
2015-06-19,10848.63,10881.18,10664.66,10696.75,1210000
2015-06-22,10696.75,10728.84,10494.02,10525.60,1220000
2015-06-23,10525.60,10557.18,10368.10,10399.29,1230000
2015-06-24,10399.29,10430.49,10222.94,10253.70,1240000
2015-06-25,10253.70,10300.01,10222.94,10269.20,1250000
2015-06-26,10269.20,10300.01,10231.30,10262.09,1260000
2015-06-29,10262.09,10292.87,10201.66,10232.36,1270000
2015-06-30,10232.36,10271.78,10201.66,10241.05,1280000
2015-07-01,10241.05,10271.78,10196.52,10227.20,1290000
2015-07-02,10227.20,10257.88,10160.29,10190.86,1300000
2015-07-03,10190.86,10223.44,10160.29,10192.86,1310000
2015-07-06,10192.86,10223.44,10141.93,10172.44,1320000
2015-07-07,10172.44,10202.96,10099.32,10129.71,1330000
2015-07-08,10129.71,10160.10,10094.81,10125.18,1340000
2015-07-09,10125.18,10155.56,10068.13,10098.43,1350000
2015-07-10,10098.43,10128.72,10019.44,10049.59,1360000
2015-07-13,10049.59,10079.74,10008.64,10038.75,1370000
2015-07-14,10038.75,10068.87,9975.91,10005.93,1380000
2015-07-15,10005.93,10040.88,9975.91,10010.85,1390000
2015-07-16,10010.85,10040.88,9963.89,9993.88,1400000
2015-07-17,9993.88,10023.86,9925.22,9955.08,1410000
2015-07-20,9955.08,9984.95,9924.07,9953.94,1420000
2015-07-21,9953.94,9983.80,9901.27,9931.07,1430000
2015-07-22,9931.07,9960.86,9856.94,9886.60,1440000
2015-07-23,9886.60,9916.26,9849.99,9879.63,1450000
2015-07-24,9879.63,9909.27,9821.60,9851.16,1460000
2015-07-27,9851.16,9880.71,9771.95,9801.36,1470000
2015-07-28,9801.36,9830.76,9759.47,9788.84,1480000
2015-07-29,9788.84,9818.20,9725.83,9755.10,1490000
2015-07-30,9755.10,9784.36,9671.23,9700.33,1000000
2015-07-31,9700.33,9729.43,9653.54,9682.59,1010000
2015-08-03,9682.59,9711.64,9615.01,9643.94,1020000
2015-08-04,9643.94,9672.87,9555.86,9584.61,1030000
2015-08-05,9584.61,9613.37,9533.31,9562.00,1040000
2015-08-06,9562.00,9590.68,9490.27,9518.83,1050000
2015-08-07,9518.83,9547.38,9483.46,9511.99,1060000
2015-08-10,9511.99,9540.53,9456.26,9484.72,1070000
2015-08-11,9484.72,9513.17,9408.83,9437.15,1080000
2015-08-12,9437.15,9465.46,9397.45,9425.72,1090000
2015-08-13,9425.72,9454.00,9365.94,9394.12,1100000
2015-08-14,9394.12,9422.31,9314.50,9342.53,1110000
2015-08-17,9342.53,9370.56,9298.86,9326.84,1120000
2015-08-18,9326.84,9354.82,9263.41,9291.28,1130000
2015-08-19,9291.28,9319.16,9208.34,9236.05,1140000
2015-08-20,9236.05,9263.76,9188.80,9216.45,1150000
2015-08-21,9216.45,9244.09,9149.76,9177.29,1160000
2015-08-24,9177.29,9204.82,9091.46,9118.82,1170000
2015-08-25,9118.82,9146.18,9068.36,9095.65,1180000
2015-08-26,9095.65,9122.94,9026.12,9053.28,1190000
2015-08-27,9053.28,9080.44,8964.99,8991.97,1200000
2015-08-28,8991.97,9018.94,8938.69,8965.59,1210000
2015-08-31,8965.59,8992.49,8893.63,8920.39,1220000
2015-09-01,8920.39,8947.15,8882.98,8909.71,1230000
2015-09-02,8909.71,8936.44,8853.67,8880.31,1240000
2015-09-03,8880.31,8906.95,8805.86,8832.36,1250000
2015-09-04,8832.36,8858.86,8792.25,8818.70,1260000
2015-09-07,8818.70,8845.16,8760.24,8786.60,1270000
2015-09-08,8786.60,8812.96,8710.04,8736.25,1280000
2015-09-09,8736.25,8762.46,8693.77,8719.93,1290000
2015-09-10,8719.93,8746.09,8659.40,8685.45,1300000
2015-09-11,8685.45,8711.51,8607.13,8633.03,1310000
2015-09-14,8633.03,8658.93,8588.50,8614.34,1320000
2015-09-15,8614.34,8640.18,8552.07,8577.80,1330000
2015-09-16,8577.80,8603.54,8498.06,8523.63,1340000
2015-09-17,8523.63,8549.20,8477.36,8502.87,1350000
2015-09-18,8502.87,8528.38,8439.18,8464.58,1360000
2015-09-21,8464.58,8489.97,8383.75,8408.98,1370000
2015-09-22,8408.98,8434.20,8361.27,8386.43,1380000
2015-09-23,8386.43,8411.59,8321.63,8346.67,1390000
2015-09-24,8346.67,8371.71,8314.58,8339.59,1400000
2015-09-25,8339.59,8364.61,8290.45,8315.39,1410000
2015-09-28,8315.39,8340.34,8249.38,8274.20,1420000
2015-09-29,8274.20,8299.02,8240.69,8265.49,1430000
2015-09-30,8265.49,8290.28,8215.15,8239.87,1440000
2015-10-01,8239.87,8264.59,8172.89,8197.49,1450000
2015-10-02,8197.49,8222.08,8162.80,8187.36,1460000
2015-10-05,8187.36,8211.92,8136.07,8160.55,1470000
2015-10-06,8160.55,8185.04,8092.86,8117.21,1480000
2015-10-07,8117.21,8141.57,8081.57,8105.89,1490000
2015-10-08,8105.89,8130.21,8053.87,8078.11,1000000
2015-10-09,8078.11,8102.34,8009.92,8034.02,1010000
2015-10-12,8034.02,8058.13,7997.63,8021.69,1020000
2015-10-13,8021.69,8045.76,7969.16,7993.14,1030000
2015-10-14,7993.14,8017.12,7924.66,7948.51,1040000
2015-10-15,7948.51,7972.35,7911.54,7935.35,1050000
2015-10-16,7935.35,7959.16,7882.48,7906.19,1060000
2015-10-19,7906.19,7931.96,7882.48,7908.24,1070000
2015-10-20,7908.24,7931.96,7870.65,7894.34,1080000
2015-10-21,7894.34,7918.02,7840.97,7864.57,1090000
2015-10-22,7864.57,7889.47,7840.97,7865.88,1100000
2015-10-23,7865.88,7889.47,7827.82,7851.37,1110000
2015-10-26,7851.37,7874.93,7797.66,7821.13,1120000
2015-10-27,7821.13,7845.30,7797.66,7821.83,1130000
2015-10-28,7821.83,7845.30,7783.43,7806.85,1140000
2015-10-29,7806.85,7830.27,7752.92,7776.25,1150000
2015-10-30,7776.25,7799.78,7752.92,7776.46,1160000
2015-11-02,7776.46,7799.78,7737.81,7761.10,1170000
2015-11-03,7761.10,7784.38,7707.05,7730.24,1180000
2015-11-04,7730.24,7753.43,7706.86,7730.05,1190000
2015-11-05,7730.05,7753.24,7691.26,7714.41,1200000
2015-11-06,7714.41,7737.55,7660.34,7683.39,1210000
